game_url,end_time,end_date,white_username,white_rating,white_result,black_username,black_rating,black_result,time_class,time_control,rules,rated,white_accuracy,black_accuracy,my_username,my_color,my_rating,opponent_username,opponent_rating,my_result,opponent_result,rating_diff,eco,eco_code,opening_name
https://www.chess.com/game/live/125315215,1304365428,2011-05-02 19:43,ChessGod,1844,insufficient,spidestoby,1924,insufficient,bullet,60,chess,False,,,ChessGod,white,1844,spidestoby,1924,insufficient,insufficient,-80,https://www.chess.com/openings/Kings-Fianchetto-Opening-Indian-Defense-2.Bg2-d5-3.f4,A00,
https://www.chess.com/game/live/125316046,1304365582,2011-05-02 19:46,spidestoby,1924,timeout,ChessGod,1844,win,bullet,60,chess,False,,,ChessGod,black,1844,spidestoby,1924,win,timeout,-80,https://www.chess.com/openings/Budapest-Gambit-Rubinstein-Variation-4...Nc6-5.Nf3,A52,
https://www.chess.com/game/live/125316840,1304365718,2011-05-02 19:48,ChessGod,1844,checkmated,spidestoby,1924,win,bullet,60,chess,False,,,ChessGod,white,1844,spidestoby,1924,checkmated,win,-80,https://www.chess.com/openings/Birds-Opening-Dutch-Variation-2.Nf3-Bg4,A03,
https://www.chess.com/game/live/125317518,1304365814,2011-05-02 19:50,spidestoby,1924,resigned,ChessGod,1844,win,bullet,60,chess,False,,,ChessGod,black,1844,spidestoby,1924,win,resigned,-80,https://www.chess.com/openings/Scandinavian-Defense-Mieses-Kotrc-Gubinsky-Melts-Defense-4.d4,B01,
https://www.chess.com/game/live/125318003,1304365936,2011-05-02 19:52,ChessGod,1844,win,spidestoby,1924,checkmated,bullet,60,chess,False,,,ChessGod,white,1844,spidestoby,1924,win,checkmated,-80,https://www.chess.com/openings/Birds-Opening-Dutch-Variation-2.Nf3-Bg4-3.e3,A03,
https://www.chess.com/game/live/125318652,1304366085,2011-05-02 19:54,spidestoby,1924,timeout,ChessGod,1844,win,bullet,60,chess,False,,,ChessGod,black,1844,spidestoby,1924,win,timeout,-80,https://www.chess.com/openings/Budapest-Gambit-Rubinstein-Variation-4...g5-5.Bg3-Bg7,A52,
https://www.chess.com/game/live/125401330,1304385469,2011-05-03 01:17,FILIPsecond,1674,timeout,ChessGod,1848,win,bullet,60,chess,True,,,ChessGod,black,1848,FILIPsecond,1674,win,timeout,174,https://www.chess.com/openings/Sicilian-Defense-Old-Sicilian-Variation-3.Bc4,B30,
https://www.chess.com/game/live/125402016,1304385619,2011-05-03 01:20,ChessGod,1854,win,elimareleazar,1774,timeout,bullet,60,chess,True,,,ChessGod,white,1854,elimareleazar,1774,win,timeout,80,https://www.chess.com/openings/Birds-Opening-1...c5-2.Nf3-Nc6,A02,
https://www.chess.com/game/live/125402625,1304385780,2011-05-03 01:23,chessd,1684,timeout,ChessGod,1858,win,bullet,60,chess,True,,,ChessGod,black,1858,chessd,1684,win,timeout,174,https://www.chess.com/openings/Sicilian-Defense-McDonnell-Attack-2...Nc6-3.Nf3,B21,
https://www.chess.com/game/live/125403115,1304385922,2011-05-03 01:25,ChessGod,1864,win,wembleyfresh,1783,timeout,bullet,60,chess,True,,,ChessGod,white,1864,wembleyfresh,1783,win,timeout,81,https://www.chess.com/openings/Birds-Opening,A02,
https://www.chess.com/game/live/125403697,1304386077,2011-05-03 01:27,wembleyfresh,1777,timeout,ChessGod,1870,win,bullet,60,chess,True,,,ChessGod,black,1870,wembleyfresh,1777,win,timeout,93,https://www.chess.com/openings/Sicilian-Defense-Bowdler-Attack-2...e6-3.Nc3,B20,
https://www.chess.com/game/live/125404261,1304386260,2011-05-03 01:31,ChessGod,1861,timeout,Kodoy,1824,win,bullet,60,chess,True,,,ChessGod,white,1861,Kodoy,1824,timeout,win,37,https://www.chess.com/openings/Birds-Opening,A02,
https://www.chess.com/game/live/125404896,1304386483,2011-05-03 01:34,Kodoy,1833,win,ChessGod,1852,timeout,bullet,60,chess,True,,,ChessGod,black,1852,Kodoy,1833,timeout,win,19,https://www.chess.com/openings/Sicilian-Defense-Open...4.Nxd4-Nf6-5.Nxc6-bxc6,B33,
https://www.chess.com/game/live/125405681,1304386624,2011-05-03 01:37,ChessGod,1852,repetition,Kodoy,1833,repetition,bullet,60,chess,True,,,ChessGod,white,1852,Kodoy,1833,repetition,repetition,19,https://www.chess.com/openings/English-Opening-Agincourt-Defense-2.g3-d5-3.Bg2-Nf6,A13,
https://www.chess.com/game/live/125406172,1304386713,2011-05-03 01:38,Kodoy,1825,checkmated,ChessGod,1860,win,bullet,60,chess,True,,,ChessGod,black,1860,Kodoy,1825,win,checkmated,35,https://www.chess.com/openings/Alekhines-Defense-Scandinavian-Variation-3.exd5-Nxd5-4.Nxd5-Qxd5-5.Nf3,B02,
https://www.chess.com/game/live/125406636,1304386892,2011-05-03 01:41,ChessGod,1860,timeout,mrave,2003,win,bullet,60,chess,False,,,ChessGod,white,1860,mrave,2003,timeout,win,-143,https://www.chess.com/openings/Birds-Opening-Froms-Gambit-2.fxe5-d6-3.Nf3,A02,
https://www.chess.com/game/live/125407171,1304387015,2011-05-03 01:43,doing,1970,resigned,ChessGod,1860,win,bullet,60,chess,False,,,ChessGod,black,1860,doing,1970,win,resigned,-110,https://www.chess.com/openings/Queens-Gambit-Accepted-Janowski-Larsen-Variation,D25,
https://www.chess.com/game/live/125407590,1304387097,2011-05-03 01:44,ChessGod,1860,win,doing,1970,checkmated,bullet,60,chess,False,,,ChessGod,white,1860,doing,1970,win,checkmated,-110,https://www.chess.com/openings/Kings-Pawn-Opening-1...e5,C20,
https://www.chess.com/game/live/125407878,1304387222,2011-05-03 01:47,doing,1970,timeout,ChessGod,1860,win,bullet,60,chess,False,,,ChessGod,black,1860,doing,1970,win,timeout,-110,https://www.chess.com/openings/Alekhines-Defense-Two-Pawns-Lasker-Variation-4...Nd5-5.Nc3,B02,
https://www.chess.com/game/live/125408382,1304387339,2011-05-03 01:48,ChessGod,1860,win,doing,1970,resigned,bullet,60,chess,False,,,ChessGod,white,1860,doing,1970,win,resigned,-110,https://www.chess.com/openings/English-Opening-Reversed-Sicilian-Closed...4.Bg2-Bc5-5.e3-O-O,A25,
https://www.chess.com/game/live/125408857,1304387519,2011-05-03 01:51,ChessGod,1860,win,bhagatlives,1705,timeout,bullet,60,chess,False,,,ChessGod,white,1860,bhagatlives,1705,win,timeout,155,https://www.chess.com/openings/Birds-Opening-Dutch-Variation-2.Nf3,A03,
https://www.chess.com/game/live/125733158,1304467430,2011-05-04 00:03,oktai,1550,timeout,ChessGod,1862,win,bullet,60,chess,True,,,ChessGod,black,1862,oktai,1550,win,timeout,312,https://www.chess.com/openings/Kings-Fianchetto-Opening-Slav-Formation,A00,
https://www.chess.com/game/live/125733655,1304467516,2011-05-04 00:05,ChessGod,1872,win,JOKERXXLIT,1934,checkmated,bullet,60,chess,True,,,ChessGod,white,1872,JOKERXXLIT,1934,win,checkmated,-62,https://www.chess.com/openings/Kings-Fianchetto-Opening,A00,
https://www.chess.com/game/live/125734067,1304467770,2011-05-04 00:09,tonygjomemo,2060,win,ChessGod,1868,resigned,bullet,60+1,chess,True,,,ChessGod,black,1868,tonygjomemo,2060,resigned,win,-192,https://www.chess.com/openings/Sicilian-Defense-Four-Knights-Variation-6.Be2-Bb4-7.Nxc6,B45,
https://www.chess.com/game/live/125734869,1304467962,2011-05-04 00:12,ChessGod,1864,checkmated,tonygjomemo,2064,win,bullet,60+1,chess,True,,,ChessGod,white,1864,tonygjomemo,2064,checkmated,win,-200,https://www.chess.com/openings/Birds-Opening-Froms-Gambit-2.fxe5-d6-3.Nf3,A02,
https://www.chess.com/game/live/125735563,1304468093,2011-05-04 00:14,tonygjomemo,2068,win,ChessGod,1860,resigned,bullet,60+1,chess,True,,,ChessGod,black,1860,tonygjomemo,2068,resigned,win,-208,https://www.chess.com/openings/Sicilian-Defense-Four-Knights-Variation-6.Be2-Bb4,B45,
https://www.chess.com/game/live/125745355,1304470773,2011-05-04 00:59,tactics2,1849,timeout,ChessGod,1868,win,bullet,60,chess,True,,,ChessGod,black,1868,tactics2,1849,win,timeout,19,https://www.chess.com/openings/Sicilian-Defense-Smith-Morra-Gambit-Declined-Push-Variation-4.Bxd3-Nc6-5.Nf3,B21,
